user_id,profile_name,date,weekday,hour,event,social_event,is_study_planned,planned_minutes,estimated_quality,rationale
B_medium,Medium Student,2025-02-01,5,0,none,none,0,0,35,Free hour; quality 35
B_medium,Medium Student,2025-02-01,5,1,none,none,0,0,24,Free hour; quality 24
B_medium,Medium Student,2025-02-01,5,2,none,none,0,0,41,Free hour; quality 41
B_medium,Medium Student,2025-02-01,5,3,none,none,0,0,40,Free hour; quality 40
B_medium,Medium Student,2025-02-01,5,4,none,none,0,0,52,Free hour; quality 52
B_medium,Medium Student,2025-02-01,5,5,none,none,0,0,33,Free hour; quality 33
B_medium,Medium Student,2025-02-01,5,6,none,none,0,0,30,Free hour; quality 30
B_medium,Medium Student,2025-02-01,5,7,none,none,0,0,43,Free hour; quality 43
B_medium,Medium Student,2025-02-01,5,8,none,none,0,0,29,Free hour; quality 29
B_medium,Medium Student,2025-02-01,5,9,none,none,0,0,34,Free hour; quality 34
B_medium,Medium Student,2025-02-01,5,10,none,none,0,0,25,Free hour; quality 25
B_medium,Medium Student,2025-02-01,5,11,none,none,0,0,21,Free hour; quality 21
B_medium,Medium Student,2025-02-01,5,12,none,none,0,0,44,Free hour; quality 44
B_medium,Medium Student,2025-02-01,5,13,none,none,0,0,60,Free hour; quality 60
B_medium,Medium Student,2025-02-01,5,14,none,none,0,0,38,Free hour; quality 38
B_medium,Medium Student,2025-02-01,5,15,none,none,0,0,46,Free hour; quality 46
B_medium,Medium Student,2025-02-01,5,16,none,none,1,29,80,Planned study 29min; quality 80
B_medium,Medium Student,2025-02-01,5,17,none,none,1,45,75,Planned study 45min; quality 75
B_medium,Medium Student,2025-02-01,5,18,none,none,0,0,43,Free hour; quality 43
B_medium,Medium Student,2025-02-01,5,19,dinner,dinner,0,0,0,Blocked by dinner
B_medium,Medium Student,2025-02-01,5,20,none,none,1,1,64,Planned study 1min; quality 64
B_medium,Medium Student,2025-02-01,5,21,none,none,1,45,67,Planned study 45min; quality 67
B_medium,Medium Student,2025-02-01,5,22,none,none,0,0,40,Free hour; quality 40
B_medium,Medium Student,2025-02-01,5,23,none,none,0,0,42,Free hour; quality 42
B_medium,Medium Student,2025-02-02,6,0,none,none,0,0,40,Free hour; quality 40
B_medium,Medium Student,2025-02-02,6,1,none,none,0,0,34,Free hour; quality 34
B_medium,Medium Student,2025-02-02,6,2,none,none,0,0,50,Free hour; quality 50
B_medium,Medium Student,2025-02-02,6,3,none,none,0,0,26,Free hour; quality 26
B_medium,Medium Student,2025-02-02,6,4,none,none,0,0,23,Free hour; quality 23
B_medium,Medium Student,2025-02-02,6,5,none,none,0,0,29,Free hour; quality 29
B_medium,Medium Student,2025-02-02,6,6,none,none,0,0,28,Free hour; quality 28
B_medium,Medium Student,2025-02-02,6,7,none,none,0,0,26,Free hour; quality 26
B_medium,Medium Student,2025-02-02,6,8,none,none,0,0,11,Free hour; quality 11
B_medium,Medium Student,2025-02-02,6,9,none,none,0,0,23,Free hour; quality 23
B_medium,Medium Student,2025-02-02,6,10,none,none,0,0,30,Free hour; quality 30
B_medium,Medium Student,2025-02-02,6,11,none,none,0,0,32,Free hour; quality 32
B_medium,Medium Student,2025-02-02,6,12,none,none,0,0,55,Free hour; quality 55
B_medium,Medium Student,2025-02-02,6,13,none,none,1,12,61,Planned study 12min; quality 61
B_medium,Medium Student,2025-02-02,6,14,none,none,0,0,52,Free hour; quality 52
B_medium,Medium Student,2025-02-02,6,15,none,none,0,0,56,Free hour; quality 56
B_medium,Medium Student,2025-02-02,6,16,none,none,1,23,76,Planned study 23min; quality 76
B_medium,Medium Student,2025-02-02,6,17,none,none,1,15,82,Planned study 15min; quality 82
B_medium,Medium Student,2025-02-02,6,18,none,none,1,45,65,Planned study 45min; quality 65
B_medium,Medium Student,2025-02-02,6,19,none,none,1,25,71,Planned study 25min; quality 71
B_medium,Medium Student,2025-02-02,6,20,none,none,0,0,50,Free hour; quality 50
B_medium,Medium Student,2025-02-02,6,21,none,none,0,0,39,Free hour; quality 39
B_medium,Medium Student,2025-02-02,6,22,none,none,0,0,56,Free hour; quality 56
B_medium,Medium Student,2025-02-02,6,23,none,none,0,0,41,Free hour; quality 41
