user_id,profile_name,date,weekday,hour,event,social_event,is_study_planned,planned_minutes,estimated_quality,rationale
C_heavy,Heavy Student,2025-02-01,5,0,none,none,0,0,27,Free hour; quality 27
C_heavy,Heavy Student,2025-02-01,5,1,none,none,0,0,24,Free hour; quality 24
C_heavy,Heavy Student,2025-02-01,5,2,none,none,0,0,30,Free hour; quality 30
C_heavy,Heavy Student,2025-02-01,5,3,none,none,0,0,42,Free hour; quality 42
C_heavy,Heavy Student,2025-02-01,5,4,none,none,0,0,43,Free hour; quality 43
C_heavy,Heavy Student,2025-02-01,5,5,none,none,0,0,39,Free hour; quality 39
C_heavy,Heavy Student,2025-02-01,5,6,none,none,0,0,56,Free hour; quality 56
C_heavy,Heavy Student,2025-02-01,5,7,none,none,1,45,68,Planned study 45min; quality 68
C_heavy,Heavy Student,2025-02-01,5,8,none,none,1,45,76,Planned study 45min; quality 76
C_heavy,Heavy Student,2025-02-01,5,9,none,none,1,37,81,Planned study 37min; quality 81
C_heavy,Heavy Student,2025-02-01,5,10,none,none,1,45,77,Planned study 45min; quality 77
C_heavy,Heavy Student,2025-02-01,5,11,none,none,1,7,50,Planned study 7min; quality 50
C_heavy,Heavy Student,2025-02-01,5,12,no_study_windows,none,0,0,0,Blocked by no_study_windows
C_heavy,Heavy Student,2025-02-01,5,13,no_study_windows,none,0,0,0,Blocked by no_study_windows
C_heavy,Heavy Student,2025-02-01,5,14,none,none,0,0,44,Free hour; quality 44
C_heavy,Heavy Student,2025-02-01,5,15,none,none,0,0,48,Free hour; quality 48
C_heavy,Heavy Student,2025-02-01,5,16,none,none,0,0,35,Free hour; quality 35
C_heavy,Heavy Student,2025-02-01,5,17,none,none,0,0,52,Free hour; quality 52
C_heavy,Heavy Student,2025-02-01,5,18,none,none,1,36,63,Planned study 36min; quality 63
C_heavy,Heavy Student,2025-02-01,5,19,none,none,1,25,66,Planned study 25min; quality 66
C_heavy,Heavy Student,2025-02-01,5,20,dinner,dinner,0,0,0,Blocked by dinner
C_heavy,Heavy Student,2025-02-01,5,21,sports,none,0,0,0,Blocked by sports
C_heavy,Heavy Student,2025-02-01,5,22,none,none,0,0,48,Free hour; quality 48
C_heavy,Heavy Student,2025-02-01,5,23,none,none,0,0,33,Free hour; quality 33
C_heavy,Heavy Student,2025-02-02,6,0,none,none,0,0,19,Free hour; quality 19
C_heavy,Heavy Student,2025-02-02,6,1,none,none,0,0,40,Free hour; quality 40
C_heavy,Heavy Student,2025-02-02,6,2,none,none,0,0,25,Free hour; quality 25
C_heavy,Heavy Student,2025-02-02,6,3,none,none,0,0,35,Free hour; quality 35
C_heavy,Heavy Student,2025-02-02,6,4,none,none,0,0,37,Free hour; quality 37
C_heavy,Heavy Student,2025-02-02,6,5,none,none,0,0,46,Free hour; quality 46
C_heavy,Heavy Student,2025-02-02,6,6,none,none,0,0,40,Free hour; quality 40
C_heavy,Heavy Student,2025-02-02,6,7,none,none,0,0,45,Free hour; quality 45
C_heavy,Heavy Student,2025-02-02,6,8,none,none,1,45,90,Planned study 45min; quality 90
C_heavy,Heavy Student,2025-02-02,6,9,none,none,1,45,67,Planned study 45min; quality 67
C_heavy,Heavy Student,2025-02-02,6,10,none,none,1,45,69,Planned study 45min; quality 69
C_heavy,Heavy Student,2025-02-02,6,11,none,none,1,15,54,Planned study 15min; quality 54
C_heavy,Heavy Student,2025-02-02,6,12,no_study_windows,none,0,0,0,Blocked by no_study_windows
C_heavy,Heavy Student,2025-02-02,6,13,no_study_windows,none,0,0,0,Blocked by no_study_windows
C_heavy,Heavy Student,2025-02-02,6,14,none,none,0,0,46,Free hour; quality 46
C_heavy,Heavy Student,2025-02-02,6,15,none,none,0,0,50,Free hour; quality 50
C_heavy,Heavy Student,2025-02-02,6,16,none,none,0,0,36,Free hour; quality 36
C_heavy,Heavy Student,2025-02-02,6,17,appointment,appointment,0,0,0,Blocked by appointment
C_heavy,Heavy Student,2025-02-02,6,18,none,none,1,45,62,Planned study 45min; quality 62
C_heavy,Heavy Student,2025-02-02,6,19,none,none,1,45,64,Planned study 45min; quality 64
C_heavy,Heavy Student,2025-02-02,6,20,sports,none,0,0,0,Blocked by sports
C_heavy,Heavy Student,2025-02-02,6,21,sports,none,0,0,0,Blocked by sports
C_heavy,Heavy Student,2025-02-02,6,22,none,none,0,0,51,Free hour; quality 51
C_heavy,Heavy Student,2025-02-02,6,23,none,none,0,0,42,Free hour; quality 42
C_heavy,Heavy Student,2025-02-03,0,0,none,none,0,0,28,Free hour; quality 28
C_heavy,Heavy Student,2025-02-03,0,1,none,none,0,0,30,Free hour; quality 30
C_heavy,Heavy Student,2025-02-03,0,2,none,none,0,0,33,Free hour; quality 33
C_heavy,Heavy Student,2025-02-03,0,3,none,none,0,0,24,Free hour; quality 24
C_heavy,Heavy Student,2025-02-03,0,4,none,none,0,0,28,Free hour; quality 28
C_heavy,Heavy Student,2025-02-03,0,5,none,none,0,0,31,Free hour; quality 31
C_heavy,Heavy Student,2025-02-03,0,6,none,none,1,45,57,Planned study 45min; quality 57
C_heavy,Heavy Student,2025-02-03,0,7,none,none,1,45,71,Planned study 45min; quality 71
C_heavy,Heavy Student,2025-02-03,0,8,none,none,1,45,74,Planned study 45min; quality 74
C_heavy,Heavy Student,2025-02-03,0,9,none,none,1,32,71,Planned study 32min; quality 71
C_heavy,Heavy Student,2025-02-03,0,10,none,none,0,0,49,Free hour; quality 49
C_heavy,Heavy Student,2025-02-03,0,11,none,none,0,0,49,Free hour; quality 49
C_heavy,Heavy Student,2025-02-03,0,12,no_study_windows,none,0,0,0,Blocked by no_study_windows
C_heavy,Heavy Student,2025-02-03,0,13,no_study_windows,none,0,0,0,Blocked by no_study_windows
C_heavy,Heavy Student,2025-02-03,0,14,none,none,0,0,51,Free hour; quality 51
C_heavy,Heavy Student,2025-02-03,0,15,none,none,0,0,52,Free hour; quality 52
C_heavy,Heavy Student,2025-02-03,0,16,none,none,0,0,45,Free hour; quality 45
C_heavy,Heavy Student,2025-02-03,0,17,none,none,0,0,47,Free hour; quality 47
C_heavy,Heavy Student,2025-02-03,0,18,none,none,1,28,80,Planned study 28min; quality 80
C_heavy,Heavy Student,2025-02-03,0,19,none,none,1,45,64,Planned study 45min; quality 64
C_heavy,Heavy Student,2025-02-03,0,20,sports,none,0,0,0,Blocked by sports
C_heavy,Heavy Student,2025-02-03,0,21,sports,none,0,0,0,Blocked by sports
C_heavy,Heavy Student,2025-02-03,0,22,none,none,0,0,40,Free hour; quality 40
C_heavy,Heavy Student,2025-02-03,0,23,none,none,0,0,31,Free hour; quality 31
